article,date,views,id
Amazon (company),2015-10-01,43,causal_inference:amazon_company
Amazon (company),2015-11-01,50,causal_inference:amazon_company
Amazon (company),2015-12-01,50,causal_inference:amazon_company
Amazon (company),2016-01-01,56,causal_inference:amazon_company
Amazon (company),2016-02-01,63,causal_inference:amazon_company
Amazon (company),2016-03-01,47,causal_inference:amazon_company
Amazon (company),2016-04-01,69,causal_inference:amazon_company
Amazon (company),2016-05-01,82,causal_inference:amazon_company
Amazon (company),2016-06-01,104,causal_inference:amazon_company
Amazon (company),2016-07-01,86,causal_inference:amazon_company
Amazon (company),2016-08-01,219,causal_inference:amazon_company
Amazon (company),2016-09-01,82,causal_inference:amazon_company
Amazon (company),2016-10-01,67,causal_inference:amazon_company
Amazon (company),2016-11-01,55,causal_inference:amazon_company
Amazon (company),2016-12-01,59,causal_inference:amazon_company
Amazon (company),2017-01-01,48,causal_inference:amazon_company
Amazon (company),2017-02-01,41,causal_inference:amazon_company
Amazon (company),2017-03-01,77,causal_inference:amazon_company
Amazon (company),2017-04-01,98,causal_inference:amazon_company
Amazon (company),2017-05-01,79,causal_inference:amazon_company
Amazon (company),2017-06-01,52,causal_inference:amazon_company
Amazon (company),2017-07-01,44,causal_inference:amazon_company
Amazon (company),2017-08-01,67,causal_inference:amazon_company
Amazon (company),2017-09-01,20008,causal_inference:amazon_company
Amazon (company),2017-10-01,354266,causal_inference:amazon_company
Amazon (company),2017-11-01,345701,causal_inference:amazon_company
Amazon (company),2017-12-01,294544,causal_inference:amazon_company
Amazon (company),2018-01-01,385600,causal_inference:amazon_company
Amazon (company),2018-02-01,340351,causal_inference:amazon_company
Amazon (company),2018-03-01,392167,causal_inference:amazon_company
Amazon (company),2018-04-01,335434,causal_inference:amazon_company
Amazon (company),2018-05-01,310416,causal_inference:amazon_company
Amazon (company),2018-06-01,281539,causal_inference:amazon_company
Amazon (company),2018-07-01,357356,causal_inference:amazon_company
Amazon (company),2018-08-01,341243,causal_inference:amazon_company
Amazon (company),2018-09-01,397222,causal_inference:amazon_company
Amazon (company),2018-10-01,378296,causal_inference:amazon_company
Amazon (company),2018-11-01,386260,causal_inference:amazon_company
Amazon (company),2018-12-01,355254,causal_inference:amazon_company
Amazon (company),2019-01-01,458094,causal_inference:amazon_company
Amazon (company),2019-02-01,369107,causal_inference:amazon_company
Amazon (company),2019-03-01,369779,causal_inference:amazon_company
Amazon (company),2019-04-01,353143,causal_inference:amazon_company
Amazon (company),2019-05-01,355742,causal_inference:amazon_company
Amazon (company),2019-06-01,321920,causal_inference:amazon_company
Amazon (company),2019-07-01,392889,causal_inference:amazon_company
Amazon (company),2019-08-01,401869,causal_inference:amazon_company
Amazon (company),2019-09-01,435975,causal_inference:amazon_company
Amazon (company),2019-10-01,491810,causal_inference:amazon_company
Amazon (company),2019-11-01,491104,causal_inference:amazon_company
Amazon (company),2019-12-01,450246,causal_inference:amazon_company
Amazon (company),2020-01-01,444638,causal_inference:amazon_company
Amazon (company),2020-02-01,431718,causal_inference:amazon_company
Amazon (company),2020-03-01,400799,causal_inference:amazon_company
Amazon (company),2020-04-01,463724,causal_inference:amazon_company
Amazon (company),2020-05-01,524524,causal_inference:amazon_company
Amazon (company),2020-06-01,477551,causal_inference:amazon_company
Amazon (company),2020-07-01,538196,causal_inference:amazon_company
Amazon (company),2020-08-01,603169,causal_inference:amazon_company
